a	@
trot	th r Q t
troth	th r @U T
trots	th r Q t s
trough	th r O: f
troughs	th r O: f s
trounce	th r aU n s
trounced	th r aU n s t
troup	th r u: p
troupe	th r u: p
troupes	th r u: p s
troupe's	th r u: p s
trout	th r aU t
trout's	th r aU t s
trove	th r @U v
trow	th r @U
troy	th r OI
truce	th r u: s
truck	th r V k
trucked	th r V k t
trucks	th r V k s
truck's	th r V k s
trude	th r u: d
trudge	th r V dZ
trudged	th r V dZ d
true	th r u:
truitt	th r u: t
trull	th r V l
trump	th r V m p
trumped	th r V m p t
trumps	th r V m p s
trump's	th r V m p s
trunk	th r V N k
trunks	th r V N k s
truong	th r O: N
truss	th r V s
trust	th r V s t
trusts	th r V s t s
trust's	th r V s t s
truth	th r u: T
truths	th r u: T s
try	th r aI
tryst	th r aI s t
t's	th i: z
tsai	th s aI
tsai's	th s aI z
tsar	z Q@
tse	th s i:
tseng	th s e N
tso	th s @U
tu	th u:
tub	th V b
tubb	th V b
tube	th u: b
tubes	th u: b z
tubs	th V b z
tuck	th V k
tucked	th V k t
tucks	th V k s
tue	th u:
tuel	th u: l
tuff	th V f
tuft	th V f t
tufts	th V f t s
tug	th V g
tugged	th V g d
tugs	th V g z
tull	th V l
tums	th V m z
tune	th u: n
tuned	th u: n d
tunes	th u: n z
tung	th V N
tung's	th V N z
ture	th U@
turf	th @r f
turk	th @r k
turks	th @r k s
turn	th @r n
turned	th @r n d
turns	th @r n z
tush	th U S
tusk	th V s k
tusks	th V s k s
tut	th V t
tutt	th V t
tux	th V k s
twain	th w eI n
twain's	th w eI n z
twang	th w Q N
twas	th w V z
tweak	th w i: k
tweaked	th w i: k t
tweaks	th w i: k s
tweed	th w i: d
tweet	th w i: t
twelfth	th w e l f T
twelve	th w e l v
twice	th w aI s
twig	th w I g
twigged	th w I g d
twigs	th w I g z
twill	th w I l
twin	th w I n
twine	th w aI n
twined	th w aI n d
twinge	th w I n dZ
twins	th w I n z
twirl	th w @r l
twirled	th w @r l d
twirls	th w @r l z
twist	th w I s t
twists	th w I s t s
twitch	th w I tS
twitched	th w I tS t
twite	th w aI t
two	th u:
twos	th u: z
two's	th u: z
ty	th aI
tye	th aI
tyke	th aI k
tyne	th aI n
tynes	th aI n z
type	th aI p
typed	th aI p t
types	th aI p s
tyre	th aI r
u	j u:
u.	I k
ude	u: d
ugh	V g
uh	V
uhde	V d
ul	V l
ulm	V l m
um	V m
umm	V m
un	V n
und	V n d
ung	V N
up	V p
upped	V p t
ups	V p s
ur	@r
ure	j u: r
urge	@r dZ
urged	@r dZ d
urn	@r n
us	V s
u's	j u: z
use	j u: s
used	j u: z d
v	v i:
v.	v i:
vaal	v Q l
vague	v eI g
vail	v eI l
vain	v eI n
val	v { l
vale	v eI l
vales	v eI l z
valle	v eI l
valve	v { l v
valves	v { l v z
vamp	v { m p
van	v { n
vance	v { n s
vane	v eI n
vanes	v eI n z
vang	v { N
vans	v { n z
vars	v Q@ z
varves	v Q@ v z
vase	v eI s
vass	v { s
vast	v { s t
vat	v { t
vats	v { t s
vaughan	v O: n
vaughan's	v O: n z
vaughn	v O: n
vaughn's	v O: n z
vault	v O: l t
vaults	v O: l t s
vax	v { k s
ve	v i:
veal	v i: l
veale	v i: l
veals	v i: l z
vee	v i:
veen	v i: n
veep	v i: p
veer	v I@
veered	v I@ d
veers	v I@ z
vees	v i: z
veil	v eI l
veiled	v eI l d
veils	v eI l z
vein	v eI n
veins	v eI n z
veit	v i: t
velte	v e l t
venn	v e n
vent	v e n t
vents	v e n t s
verb	v @r b
verbs	v @r b z
vere	v I@
verge	v @r dZ
vern	v @r n
verne	v @r n
verse	v @r s
versed	v @r s t
vert	v @r t
verve	v @r v
vest	v e s t
vests	v e s t s
vet	v e t
vets	v e t s
veuve	v j u: v
vex	v e k s
vexed	v e k s t
vey	v eI
vi	v aI
vibe	v aI b
vibes	v aI b z
vic	v I k
vice	v aI s
vick	v I k
vic's	v I k s
vide	v aI d
vie	v aI
vied	v aI d
viens	v i: n z
viers	v I@ z
vies	v aI z
view	v j u:
viewed	v j u: d
views	v j u: z
vig	v I g
vile	v aI l
ville	v I l
vim	v I m
vin	v I n
vince	v I n s
vine	v aI n
vines	v aI n z
vint	v I n t
vires	v aI r z
virge	v @r dZ
vis	v I s
vise	v aI s
viv	v I v
vive	v i: v
vives	v aI v z
vlach	v l { tS
vlad	v l { d
vlad's	v l { d z
vo	v @U
vogt	v @U t
vogue	v @U g
voice	v OI s
voiced	v OI s t
void	v OI d
voids	v OI d z
voiles	v OI l z
voir	v w Q@
voles	v @U l z
volk	v @U l k
volpe	v @U l p
volt	v @U l t
volts	v @U l t s
voltz	v @U l t s
von	v O: n
vos	v Q s
voss	v O: s
vote	v @U t
votes	v @U t s
vote's	v @U t s
vouch	v aU tS
vouched	v aU tS t
vought	v O: t
vow	v aU
vowed	v aU d
vows	v aU z
vox	v Q k s
vries	v r i: z
vroom	v r u: m
v's	v i: z
vu	v u:
vue	v j u:
wa	w Q
waag	w Q g
waal	w Q l
wace	w eI s
wack	w { k
wacks	w { k s
wad	w Q d
wade	w eI d
wades	w eI d z
wade's	w eI d z
wads	w Q d z
waft	w Q f t
wag	w { g
wage	w eI dZ
waged	w eI dZ d
wagged	w { g d
wags	w { g z
wah	w Q
wahl	w Q l
waid	w eI d
waide	w eI d
waif	w eI f
wail	w eI l
wailed	w eI l d
wails	w eI l z
wain	w eI n
wais	w eI z
waist	w eI s t
waists	w eI s t s
wait	w eI t
waite	w eI t
waites	w eI t s
waite's	w eI t s
waits	w eI t s
waive	w eI v
waived	w eI v d
waives	w eI v z
wake	w eI k
wakes	w eI k s
wal	w O: l
wald	w O: l d
wale	w eI l
wales	w eI l z
walk	w Q k
walke	w O: k
walked	w O: k t
walks	w O: k s
wall	w O: l
walled	w O: l d
walls	w O: l z
wall's	w O: l z
walsh	w O: l S
walt	w O: l t
walth	w O: l T
waltz	w O: l t s
wan	w Q n
wand	w Q n d
wands	w Q n d z
wane	w eI n
waned	w eI n d
wanes	w eI n z
wang	w { N
wang's	w { N z
wank	w Q N k
wann	w Q n
want	w Q n t
wants	w Q n t s
war	w O@
ward	w O@ d
warde	w O@ d
wards	w O@ d z
ward's	w O@ d z
ware	w e@
wares	w e@ z
warf	w O@ f
wark	w O@ k
warm	w O@ m
warmed	w O@ m d
warms	w O@ m z
warmth	w O@ m T
warn	w O@ n
warne	w O@ n
warned	w O@ n d
warns	w O@ n z
warp	w O@ p
warped	w O@ p t
warps	w O@ p s
warr	w O@
wars	w O@ z
war's	w O@ z
wart	w O@ t
warth	w O@ T
warts	w O@ t s
was	w Q z
wash	w Q S
washed	w Q S t
wasp	w Q s p
wasps	w Q s p s
wasp's	w Q s p s
waste	w eI s t
wastes	w eI s t s
wat	w O: t
watch	w Q tS
watched	w Q tS t
watt	w Q t
watts	w Q t s
watt's	w Q t s
waugh	w O:
waugh's	w O: z
wave	w eI v
waved	w eI v d
waves	w eI v z
wax	w { k s
waxed	w { k s t
way	w eI
wayne	w eI n
wayne's	w eI n z
ways	w eI z
way's	w eI z
we	w i:
weak	w i: k
weaks	w i: k s
wealth	w e l T
wealths	w e l T s
wean	w i: n
weaned	w i: n d
wear	w e@
wears	w e@ z
weave	w i: v
weaved	w i: v d
weaves	w i: v z
web	w e b
webb	w e b
webbed	w e b d
webbs	w e b z
webb's	w e b z
webs	w e b z
wecht	w e k t
weck	w e k
wed	w e d
we'd	w i: d
wedge	w e dZ
wedged	w e dZ d
wee	w i:
weed	w i: d
weeds	w i: d z
week	w i: k
weekes	w i: k s
weeks	w i: k s
week's	w i: k s
weeks'	w i: k s
weems	w i: m z
weep	w i: p
weeps	w i: p s
wehr	w e@
wei	w eI
weigh	w eI
weighed	w eI d
weighs	w eI z
weight	w eI t
weights	w eI t s
weil	w aI l
weill	w aI l
weill's	w aI l z
weil's	w aI l z
wein	w i: n
weir	w i: r
weird	w I@ d
weir's	w i: r z
weise	w i: s
weiss	w aI s
welch	w e l tS
weld	w e l d
welds	w e l d z
welk	w e l k
welke	w e l k
well	w e l
we'll	w i: l
welles	w e l z
wells	w e l z
welsh	w e l tS
welt	w e l t
wen	w e n
wend	w e n d
wende	w e n d
wends	w e n d z
wendt	w e n t
wenge	w e n dZ
went	w e n t
wenz	w e n z
wept	w e p t
were	w @r
we're	w i: r
wert	w @r t
wertz	w @r t s
wes	w e s
west	w e s t
west's	w e s t s
wet	w e t
we've	w i: v
wey	w eI
weyl	w eI l
whack	w { k
whacked	w { k t
whacks	w { k s
whale	w eI l
whales	w eI l z
whale's	w eI l z
wham	w { m
whan	w { n
whang	w { N
wharf	w O@ f
wharf's	w O@ f s
what	w Q t
whats	w @ t s
what's	w V t s
wheat	w i: t
wheel	w i: l
wheeled	w i: l d
wheels	w i: l z
wheeze	w i: z
when	w e n
whence	w e n s
when's	w e n z
where	w e@
where'd	w e@ d
where's	w e@ z
whet	w e t
whew	w u:
whey	w eI
which	w I tS
whiff	w I f
whig	w I g
whigs	w I g z
while	w aI l
whiles	w aI l z
whilst	w aI l s t
whim	w I m
whims	w I m z
whine	w aI n
whines	w aI n z
whip	w I p
whipped	w I p t
whips	w I p s
whirl	w @r l
whirled	w @r l d
whisk	w I s k
whisked	w I s k t
whisks	w I s k s
whit	w I t
white	w aI t
whites	w aI t s
white's	w aI t s
whitt	w I t
whiz	w I z
whizzed	w I z d
who	h u:
whoa	w @U
who'd	h u: d
whole	h @U l
wholes	h @U l z
who'll	h u: l
whom	h u: m
whoop	w u: p
whooped	w u: p t
whoops	w u: p s
whoosh	w u: S
whore	h O@
whores	h O@ z
whorl	w @r l
whorls	w @r l z
who's	h u: z
whose	h u: z
who've	h u: v
why	w aI
why'd	w aI d
whys	w aI z
why's	w aI z
whyte	w aI t
wice	w aI s
wich	w I tS
wick	w I k
wickes	w I k s
wicks	w I k s
wide	w aI d
width	w I d T
widths	w I d T s
wied	w i: d
wield	w i: l d
wields	w i: l d z
wien	w i: n
wier	w I@
wiese	w i: z
wife	w aI f
wife's	w aI f s
wig	w I g
wight	w aI t
wigs	w I g z
wil	w I l
wild	w aI l d
wilde	w aI l d
wilds	w aI l d z
wile	w aI l
wiles	w aI l z
wilk	w I l k
wilkes	w I l k s
will	w I l
willed	w I l d
willes	w aI l z
willms	w I l m z
wills	w I l z
will's	w I l z
wil's	w I l z
wilt	w I l t
wilts	w I l t s
wiltz	w I l t s
wimp	w I m p
wimps	w I m p s
win	w I n
wince	w I n s
winced	w I n s t
winch	w I n tS
wind	w I n d
winds	w I n d z
wind's	w I n d z
wine	w aI n
wined	w aI n d
wines	w aI n z
wine's	w aI n z
wing	w I N
winge	w I n dZ
winged	w I N d
wings	w I N z
wing's	w I N z
wink	w I N k
winked	w I N k t
winks	w I N k s
winn	w I n
winne	w I n
wins	w I n z
win's	w I n z
wint	w I n t
wipe	w aI p
wiped	w aI p t
wipes	w aI p s
wirth	w @r T
wirtz	w @r t s
wis	w I s
wise	w aI z
wised	w aI z d
wish	w I S
wished	w I S t
wisp	w I s p
wiss	w I s
wist	w I s t
wit	w I t
witch	w I tS
with	w I D
wits	w I t s
wit's	w I t s
witt	w I t
witte	w I t
wives	w aI v z
wives'	w aI v z
wiz	w I z
wo	w @U
woe	w @U
woes	w @U z
wok	w Q k
woke	w @U k
wold	w @U l d
wolf	w U l f
wolfe	w U l f
wolfe's	w U l f s
wolff	w U l f
wolf's	w U l f s
wolk	w @U k
woll	w Q l
wolves	w U l v z
womb	w u: m
won	w V n
wong	w O: N
wong's	w O: N z
wonk	w Q n k
wonks	w Q n k s
wont	w @U n t
won't	w @U n t
woo	w u:
wood	w U d
woods	w U d z
wood's	w U d z
wooed	w u: d
woof	w u: f
wool	w U l
woolf	w U l f
wools	w U l z
woos	w u: z
woo's	w u: z
wop	w Q p
wops	w Q p s
word	w @r d
words	w @r d z
word's	w @r d z
wore	w O@
work	w @r k
worked	w @r k t
works	w @r k s
work's	w @r k s
world	w @r l d
worlds	w @r l d z
world's	w @r l d z
worm	w @r m
worms	w @r m z
worm's	w @r m z
worn	w O@ n
worse	w @r s
worst	w @r s t
worth	w @r T
worths	w @r T s
worth's	w @r T s
worts	w @r t s
wouk	w u: k
would	w U d
woulfe	w aU l f
wound	w aU n d
wounds	w u: n d z
wove	w @U v
wow	w aU
wowed	w aU d
wows	w aU z
woy	w OI
wrack	r { k
wracked	r { k t
wrap	r { p
wrapped	r { p t
wraps	r { p s
wrath	r { T
wray	r eI
wreak	r i: k
wreaked	r i: k t
wreaks	r i: k s
wreath	r i: T
wreaths	r i: T s
wreck	r e k
wrecked	r e k t
wrecks	r e k s
wren	r e n
wrench	r e n tS
wrenched	r e n tS t
wrest	r e s t
wright	r aI t
wrights	r aI t s
wright's	r aI t s
wring	r I N
wrist	r I s t
wrists	r I s t s
writ	r I t
write	r aI t
writes	r aI t s
writhe	r I T
writs	r I t s
wrong	r O: N
wronged	r O: N d
wrongs	r O: N z
wrote	r @U t
wrought	r O: t
wrung	r V N
wry	r aI
wu	w u:
wulf	w U l f
wurst	w @r s t
wurtz	w @r t s
wu's	w u: z
wuss	w V s
wy	w eI
wye	w aI
wyke	w aI k
wylde	w aI l d
wyle	w aI l
wyles	w aI l z
wyne	w aI n
wynn	w I n
wynne	w I n
wynns	w I n z
wynn's	w I n z
wyss	w I s
x	e k s
xanthe	z { n D
xi	S i:
xian	z j Q n
xie	z i:
xing	S I N
xu	z u:
y	w aI
y.	w aI
ya	j Q
yacht	j Q t
yachts	j Q t s
yack	j { k
yah	j Q
yak	j { k
yale	j eI l
yale's	j eI l z
y'all	j O: l
yam	j { m
yams	j { m z
yan	j { n
yang	j { N
yank	j { N k
yanked	j { N k t
yanks	j { N k s
yao	j aU
yap	j { p
yapp	j { p
yaps	j { p s
yard	j Q@ d
yards	j Q@ d z
yard's	j Q@ d z
yarn	j Q@ n
yarns	j Q@ n z
yates	j eI t s
yaw	j O:
yawn	j O: n
yawned	j O: n d
yawns	j O: n z
yay	j eI
ye	j i:
yea	j eI
yeah	j {
year	j I@
yearn	j @r n
yearned	j @r n d
yearns	j @r n z
years	j I@ z
year's	j I@ z
years'	j I@ z
yeas	j eI z
yeast	j i: s t
yeasts	j i: s t s
yeats	j eI t s
yee	j i:
yeh	j e
yell	j e l
yelled	j e l d
yells	j e l z
yen	j e n
yen's	j e n z
yep	j e p
yes	j e s
yet	j e t
yett	j e t
yeung	j u: N
yew	j u:
yew's	j u: z
yi	j i:
yield	j i: l d
yields	j i: l d z
yim	j I m
yin	j I n
yip	j I p
ynez	j n e z
yo	j @U
yoe	j @U
yoke	j @U k
yoked	j @U k t
yokes	j @U k s
yolk	j @U k
yolks	j @U k s
yom	j Q m
yon	j Q n
yong	j O: N
yoo	j u:
yore	j O@
york	j O@ k
yorke	j O@ k
yorks	j O@ k s
york's	j O@ k s
yost	j @U s t
you	j u:
you'd	j u: d
you'll	j u: l
young	j V N
youngs	j V N z
young's	j V N z
your	j O@
you're	j U@
yours	j U@ z
youse	j aU s
youth	j u: T
youths	j u: D z
youth's	j u: T s
you've	j u: v
yow	j aU
yoy	j OI
y's	w aI z
yu	j u:
yuck	j V k
yue	j u:
yuille	j u: l
yuk	j V k
yuks	j V k s
yul	j V l
yule	j u: l
yum	j V m
yun	j V n
yung	j V N
yup	j V p
yurt	j U@ t
yu's	j u: z
yves	i: v
z	z i:
zach	z { k
zack	z { k
zacks	z { k s
zack's	z { k s
zag	z { g
zagged	z { g d
zags	z { g z
zaid	z eI d
zak	z { k
zandt	z { n t
zane	z eI n
zant	z { n t
zap	z { p
zapped	z { p t
zaps	z { p s
zared	z e@ d
zea	z i:
zeal	z i: l
zech	z e k
zed	z e d
zee	z i:
zeiss	z aI s
zeke	z i: k
zel	z e l
zell	z e l
zelle	z e l
zen	z e n
zens	z e n z
zest	z e s t
zeus	z u: s
zhang	Z { N
ziff	z I f
ziff's	z I f s
zig	z I g
zilch	z I l tS
zill	z I l
zim	z I m
zinc	z I N k
zinck	z I N k
zine	z aI n
zines	z aI n z
zing	z I N
zingg	z I N g
zink	z I N k
zinke	z I N k
zinn	z I n
zins	z I n z
zip	z I p
zipped	z I p t
zips	z I p s
ziv	z I v
zoll	z Q l
zone	z @U n
zoned	z @U n d
zones	z @U n z
zoo	z u:
zoom	z u: m
zoomed	z u: m d
zooms	z u: m z
zoos	z u: z
zoo's	z u: z
zorn	z O@ n
z's	z i: z
zsa	Z Q
zug	z V g
zug's	z V g z
zurn	z @r n
zwart	z w O@ t
zweig	z w aI g
zwick	z w I k
